train_dataset: 280
val_dataset: 35
test_dataset: 35
ext_dataset: 150
No Weights Found!! Starting From Scratch
ext_total_loss:8.57E-02, ext_vector_loss:3.44E+00, ext_position_loss:6.85E-02,
val_total_loss:6.65E-02, val_vector_loss:3.13E+00, val_position_loss:5.08E-02,
ext_total_loss:7.23E-02, ext_vector_loss:3.43E+00, ext_position_loss:5.52E-02,
val_total_loss:3.17E-02, val_vector_loss:3.10E+00, val_position_loss:1.62E-02,
ext_total_loss:3.58E-02, ext_vector_loss:3.39E+00, ext_position_loss:1.89E-02,

  8%|███████████▍                                                                                                                                       | 155/2000 [00:12<02:26, 12.59it/s]
ext_total_loss:5.05E-02, ext_vector_loss:3.33E+00, ext_position_loss:3.38E-02,
val_total_loss:7.28E-02, val_vector_loss:3.01E+00, val_position_loss:5.77E-02,
ext_total_loss:7.14E-02, ext_vector_loss:3.28E+00, ext_position_loss:5.50E-02,
val_total_loss:7.40E-02, val_vector_loss:2.94E+00, val_position_loss:5.93E-02,
ext_total_loss:7.23E-02, ext_vector_loss:3.21E+00, ext_position_loss:5.63E-02,
val_total_loss:4.96E-02, val_vector_loss:2.88E+00, val_position_loss:3.52E-02,
ext_total_loss:5.50E-02, ext_vector_loss:3.16E+00, ext_position_loss:3.92E-02,
val_total_loss:3.46E-02, val_vector_loss:2.91E+00, val_position_loss:2.01E-02,
ext_total_loss:4.65E-02, ext_vector_loss:3.20E+00, ext_position_loss:3.05E-02,
val_total_loss:5.61E-02, val_vector_loss:3.00E+00, val_position_loss:4.12E-02,
ext_total_loss:6.35E-02, ext_vector_loss:3.30E+00, ext_position_loss:4.70E-02,
val_total_loss:7.41E-02, val_vector_loss:3.08E+00, val_position_loss:5.86E-02,
ext_total_loss:7.99E-02, ext_vector_loss:3.39E+00, ext_position_loss:6.30E-02,
val_total_loss:6.45E-02, val_vector_loss:3.15E+00, val_position_loss:4.88E-02,
ext_total_loss:7.03E-02, ext_vector_loss:3.44E+00, ext_position_loss:5.31E-02,
val_total_loss:4.74E-02, val_vector_loss:3.16E+00, val_position_loss:3.16E-02,
ext_total_loss:4.50E-02, ext_vector_loss:3.45E+00, ext_position_loss:2.78E-02,
val_total_loss:4.24E-02, val_vector_loss:3.09E+00, val_position_loss:2.70E-02,
ext_total_loss:4.47E-02, ext_vector_loss:3.36E+00, ext_position_loss:2.79E-02,
val_total_loss:6.44E-02, val_vector_loss:2.99E+00, val_position_loss:4.95E-02,
ext_total_loss:6.28E-02, ext_vector_loss:3.26E+00, ext_position_loss:4.65E-02,
val_total_loss:6.57E-02, val_vector_loss:2.90E+00, val_position_loss:5.12E-02,
ext_total_loss:6.40E-02, ext_vector_loss:3.16E+00, ext_position_loss:4.82E-02,
val_total_loss:5.62E-02, val_vector_loss:2.86E+00, val_position_loss:4.19E-02,
ext_total_loss:6.50E-02, ext_vector_loss:3.12E+00, ext_position_loss:4.94E-02,
val_total_loss:4.86E-02, val_vector_loss:2.89E+00, val_position_loss:3.41E-02,
ext_total_loss:5.95E-02, ext_vector_loss:3.16E+00, ext_position_loss:4.37E-02,
val_total_loss:4.77E-02, val_vector_loss:2.97E+00, val_position_loss:3.29E-02,
ext_total_loss:5.47E-02, ext_vector_loss:3.25E+00, ext_position_loss:3.84E-02,
val_total_loss:6.29E-02, val_vector_loss:3.09E+00, val_position_loss:4.74E-02,
ext_total_loss:6.83E-02, ext_vector_loss:3.38E+00, ext_position_loss:5.14E-02,
val_total_loss:5.64E-02, val_vector_loss:3.24E+00, val_position_loss:4.02E-02,
ext_total_loss:6.16E-02, ext_vector_loss:3.52E+00, ext_position_loss:4.40E-02,
val_total_loss:5.76E-02, val_vector_loss:3.35E+00, val_position_loss:4.08E-02,
ext_total_loss:5.83E-02, ext_vector_loss:3.62E+00, ext_position_loss:4.02E-02,
val_total_loss:6.14E-02, val_vector_loss:3.33E+00, val_position_loss:4.48E-02,
ext_total_loss:6.09E-02, ext_vector_loss:3.58E+00, ext_position_loss:4.30E-02,
val_total_loss:5.50E-02, val_vector_loss:3.22E+00, val_position_loss:3.88E-02,
ext_total_loss:5.48E-02, ext_vector_loss:3.46E+00, ext_position_loss:3.75E-02,
